Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
18143977,All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,"=""1476746583""","=""9781476746586""",3,4.31,Scribner,Hardcover,531,2014,2014,,2014/04/26,,,read,,,,,,,0,,,,,
18143974,The Blazing World,Siri Hustvedt,"Hustvedt, Siri",,"=""1476747237""","=""9781476747231""",0,3.63,Simon  Schuster,Hardcover,368,2014,2014,,2014/04/26,to-read,to-read (#14),to-read,,,,,,,0,,,,,
15819028,"The Golem and the Jinni (The Golem and the Jinni, #1)",Helene Wecker,"Wecker, Helene",,"=""0062110837""","=""9780062110831""",3,4.10,Harper,Hardcover,486,2013,2013,,2014/04/26,,,read,,,,,,,0,,,,,
29044,The Secret History,Donna Tartt,"Tartt, Donna",,"=""1400031702""","=""9781400031702""",5,4.07,Vintage,Paperback,559,2004,1992,,2014/04/04,fivers,fivers (#1),read,,,,,,,0,,,,,
8520610,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,"Cain, Susan",,"=""0307352145""","=""9780307352149""",5,4.04,"Crown Publishing Group/Random House, Inc.",Hardcover,337,2012,2012,,2014/03/30,,,read,,,,,,,0,,,,,
8908,World War Z: An Oral History of the Zombie War,Max Brooks,"Brooks, Max",,"=""0307346609""","=""9780307346605""",3,4.01,Crown,Hardcover,342,2006,2006,,2014/03/30,,,read,,,,,,,0,,,,,
9418327,Bossypants,Tina Fey,"Fey, Tina",,"=""""","=""""",4,3.94,Reagan Arthur Books,Kindle Edition,283,2011,2011,,2014/03/30,,,read,,,,,,,0,,,,,
15507958,"Me Before You (Me Before You, #1)",Jojo Moyes,"Moyes, Jojo",,"=""0670026603""","=""9780670026609""",3,4.27,Pamela Dorman Books/Viking,Hardcover,369,2012,2012,,2014/03/23,,,read,,,,,,,0,,,,,
17333223,The Goldfinch,Donna Tartt,"Tartt, Donna",,"=""0316055433""","=""9780316055437""",5,3.87,"Little, Brown",Hardcover,771,2013,2013,,2014/03/21,fivers,fivers (#5),read,,,,,,,0,,,,,
154091,"Mona Lisa Overdrive (Sprawl, #3)",William Gibson,"Gibson, William",,"=""0553281747""","=""9780553281743""",3,3.97,Bantam Spectra,Mass Market Paperback,308,1989,1988,,2014/03/08,,,read,,,,,,,0,,,,,
